Movie Name,Storyline,story_length,word_count,char_length,clean_story
White Courage,"Two Highlander brothers, clash after their father's death. Andrzej meets Wolfram, an anthropologist. War erupts, Andrzej seeks Highlanders' cooperation with Germans, leading to a violent brotherly confrontation amidst wartime turmoil.",234,30,234,two highlander brothers clash fathers death andrzej meets wolfram anthropologist war erupts andrzej seeks highlanders cooperation germans leading violent brotherly confrontation amidst wartime turmoil
Hometown Mysteries: A Farmhouse Murder,A murder committed during Olympic horse jumping qualifications sends shockwaves through a tight-knit community and a journalist on a mission.,141,20,141,murder committed olympic horse jumping qualifications sends shockwaves tightknit community journalist mission
The Stepdaughter 2,"After surviving a violent showdown, a conniving teen breaks out of a hospital determined to wreak havoc on her father's new wife and family.",140,24,140,surviving violent showdown conniving teen breaks hospital determined wreak havoc fathers new wife family
Caras Vemos,"A mystical encounter leads an unconventional family to swap bodies. Mother becomes a teen, father becomes son, youngest daughter inhabits father's body, lethargic brother is in teenage sister's body, little girl becomes wise mother.",232,34,232,mystical encounter leads unconventional family swap bodies mother becomes teen father becomes son youngest daughter inhabits fathers body lethargic brother teenage sisters body little girl becomes wise mother
A Christmas of Wonders,"After years of globetrotting, a travel writer returns to her small hometown for the holidays, where she rediscovers the magic of family traditions and reconnects with an old flame.",180,29,180,years globetrotting travel writer returns small hometown holidays rediscovers magic family traditions reconnects old flame
The Silent Intruder,"Catherine, seeking to fix her loveless marriage, falls for her therapist Zaki, only to uncover his dark side. Her rejection triggers his hidden psychopathy, thrusting her into a fight for her life.",197,32,197,catherine seeking fix loveless marriage falls therapist zaki uncover dark side rejection triggers hidden psychopathy thrusting fight life
Flaminia,"Flaminia, a wealthy Roman girl, is set to marry a diplomat's son when her autistic half-sister Ludovica barges into her life, exposing Flaminia's superficial existence. As they reconnect, an unexpected event threatens their newfound bond.",238,35,238,flaminia wealthy roman girl set marry diplomats son autistic halfsister ludovica barges life exposing flaminias superficial existence reconnect unexpected event threatens newfound bond
"Us, Our Pets and the War",The film highlights the stories of people and their pets against the backdrop of the Russian invasion of Ukraine in 2022.,121,21,121,film highlights stories people pets backdrop russian invasion ukraine
Queen Rock Montreal,"The iconic rock band Queen performs their best hits like ""We Will Rock You, "" ""Somebody To Love, "" and ""Bohemian Rhapsody"" in an unforgettable live concert.",156,27,156,iconic rock band queen performs best hits like rock somebody love bohemian rhapsody unforgettable live concert
Nadanna Sambhavam,A group of family and friends in a residential association experience a major shift upon the arrival of a peculiar new tenant.,126,22,126,group family friends residential association experience major shift upon arrival peculiar new tenant
Obbattu,"Ganga and Shiva navigate a comedic and suspenseful evening after the unexpected death of Jollu Seena at Ganga's dinner, leading to a series of misunderstandings and the search for the true murderer.",198,32,198,ganga shiva navigate comedic suspenseful evening unexpected death jollu seena gangas dinner leading series misunderstandings search true murderer
Arap Kadri,"Master cartoonist Tekin Aral inspired Arap Yasar from Üsküdar, Arap Kadri's most important characteristic is that he is extremely fond of his freedom. He lives in the forest and doesn't recognize many rules. In the forest, there is an order established by Tarzan.",263,43,263,master cartoonist tekin aral inspired arap yasar skdar arap kadris important characteristic extremely fond freedom lives forest doesnt recognize many rules forest order established tarzan
Saba,"Divided views on end-of-life care strain a mother-daughter bond, reflecting opposing perspectives within a complex relationship.",128,16,128,divided views endoflife care strain motherdaughter bond reflecting opposing perspectives within complex relationship
RSVP,An aspiring author is forced to rely on her street smarts and martial arts skills to escape a deadly dinner party after discovering the host has vengeful motives.,162,28,162,aspiring author forced rely street smarts martial arts skills escape deadly dinner party discovering host vengeful motives
Gold Raiders,"Sisters search for Blackbeard's lost treasure, racing against ruthless rivals who'll stop at nothing, including murder, to claim the legendary pirate gold before them.",167,24,167,sisters search blackbeards lost treasure racing ruthless rivals wholl stop nothing including murder claim legendary pirate gold
The Legend of Man and Loong,"The Huan Long family has lived and fought with dragons since ancient times. In the Dong Wenguang generation, they suddenly turned their backs on the dragon and I seal all the Kowloon Kings. In order to gain his father's approval, Dong Yiming Ignoring Dong Wenguang's interference, he secretly investigates Yong Jin-joo's whereabouts. But he is just a pawnshop in a game where everyone is a hidden mastermind, You discover that the truth behind it is still not the ultimate truth.",479,80,479,huan long family lived fought dragons since ancient times dong wenguang generation suddenly turned backs dragon seal kowloon kings order gain fathers approval dong yiming ignoring dong wenguangs interference secretly investigates yong jinjoos whereabouts pawnshop game everyone hidden mastermind discover truth behind still ultimate truth
War Blade,It follows agent Banks as he is tasked with rescuing a French resistance fighter from a hidden Nazi bunker.,107,19,107,follows agent banks tasked rescuing french resistance fighter hidden nazi bunker
Oro Negro,"Ramiro meets Damián again after years without seeing each other. Damián always has some shady business going on. This time he wants to go in a search of a certain treasure hidden in an abandoned convent. Lara, Ramiro's girlfriend, doesn't trust Damián and decides to accompany them. What they don't know is that taking that thing from there could unleash a course that will haunt them forever, unless they return it just as they found it.",438,76,438,ramiro meets damin years without seeing damin always shady business going time wants go search certain treasure hidden abandoned convent lara ramiros girlfriend doesnt trust damin decides accompany dont know taking thing could unleash course haunt forever unless return found
Death Streamer,A modern-day vampire employs technologically advanced glasses that enable him to hunt and LIVE STREAM his bloody feasts.,120,18,120,modernday vampire employs technologically advanced glasses enable hunt live stream bloody feasts
